Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,Publisher,"Mostly reviews, perspectives, comments, opinions"
Nature Reviews Earth & Environment,NAT REV EARTH ENV,N/A,2662-138X,ENVIRONMENTAL SCIENCES - SCIE,"4,599",42.1,SPRINGERNATURE,TRUE
Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES - SCIE,"107,998",32.5,ROYAL SOC CHEMISTRY,
Nature Climate Change,NAT CLIM CHANGE,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES - SCIE,"45,022",30.7,NATURE PORTFOLIO,
Nature Sustainability,NAT SUSTAIN,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES - SCIE,"14,346",27.6,NATURE PORTFOLIO,
Lancet Planetary Health,LANCET PLANET HEALTH,N/A,2542-5196,ENVIRONMENTAL SCIENCES - SCIE,"6,220",25.7,ELSEVIER SCI LTD,
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES - SCIE,"6,750",16.4,ANNUAL REVIEWS,TRUE
One Earth,ONE EARTH,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES - SCIE,"3,916",16.2,ELSEVIER,
Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES - SCIE,"14,047",15.7,SPRINGER HEIDELBERG,
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,1569-1705,1572-9826,ENVIRONMENTAL SCIENCES - SCIE,"5,188",14.4,SPRINGER,TRUE
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,0304-3894,1873-3336,ENVIRONMENTAL SCIENCES - SCIE,"208,427",13.6,ELSEVIER,
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,0034-4257,1879-0704,ENVIRONMENTAL SCIENCES - SCIE,"89,316",13.5,ELSEVIER SCIENCE INC,
RESOURCES CONSERVATION AND RECYCLING,RESOUR CONSERV RECY,0921-3449,1879-0658,ENVIRONMENTAL SCIENCES - SCIE,"44,781",13.2,ELSEVIER,
WATER RESEARCH,WATER RES,0043-1354,1879-2448,ENVIRONMENTAL SCIENCES - SCIE,"144,183",12.8,PERGAMON-ELSEVIER SCIENCE LTD,
Biochar,BIOCHAR,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES - SCIE,"1,899",12.7,SPRINGER SINGAPORE PTE LTD,
