authors,title,journal,doc_type,total_cited,doi,doi_link,pub_year,is_climate,dropped,dropped_why,data_statement,code_statement,data_statement_where,code_statement_where,data_open,code_open,data_repo,code_repo,data_included,data_limitation_other,code_included,data_reasons,code_reasons,notes
"Long, L; Wu, CY; Yang, Z; Tang, CYY",Carbon Nanotube Interlayer Enhances Water Permeance and Antifouling Performance of Nanofiltration Membranes: Mechanisms and Experimental Evidence,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,49,10.1021/acs.est.1c07332,http://dx.doi.org/10.1021/acs.est.1c07332,2022,0,1,framing not climate change focused,,,,,,,,,,,,,,
"Song, KS; Fang, C; Jacinthe, PA; Wen, ZD; Liu, G; Xu, XF; Shang, YX; Lyu, LL",Climatic versus Anthropogenic Controls of Decadal Trends (1983-2017) in Algal Blooms in Lakes and Reservoirs across China,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,47,10.1021/acs.est.0c06480,http://dx.doi.org/10.1021/acs.est.0c06480,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Tang, HT; Zhang, S; Chen, WY",Assessing Representative CCUS Layouts for China's Power Sector toward Carbon Neutrality,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,44,10.1021/acs.est.1c03401,http://dx.doi.org/10.1021/acs.est.1c03401,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Zhu, JJ; Dressel, W; Pacion, K; Ren, ZYJ","ES&T in the 21st Century: A Data-Driven Analysis of Research Topics, Interconnections, And Trends in the Past 20 Years",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,43,10.1021/acs.est.0c07551,http://dx.doi.org/10.1021/acs.est.0c07551,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Jin, YL; Wang, LW; Song, YA; Zhu, J; Qin, MH; Wu, LH; Hu, PJ; Li, FB; Fang, LP; Chen, C; Hou, DY",Integrated Life Cycle Assessment for Sustainable Remediation of Contaminated Agricultural Soil in China,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,39,10.1021/acs.est.1c02535,http://dx.doi.org/10.1021/acs.est.1c02535,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Stone, B; Mallen, E; Rajput, M; Gronlund, CJ; Broadbent, AM; Krayenhoff, ES; Augenbroe, G; O'Neill, MS; Georgescu, M",Compound Climate and Infrastructure Events: How Electrical Grid Failure Alters Heat Wave Risk,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,39,10.1021/acs.est.1c00024,http://dx.doi.org/10.1021/acs.est.1c00024,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Ouyang, XG; Duarte, CM; Cheung, SG; Tam, NFY; Cannicci, S; Martin, C; Lo, HS; Lee, SY",Fate and Effects of Macro- and Microplastics in Coastal Wetlands,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,37,10.1021/acs.est.1c06732,http://dx.doi.org/10.1021/acs.est.1c06732,2022,1,,,"The gridded population data of the world (GPW, version 4) are available from https://sedac.ciesin.columbia.edu/data/set/gpw-v4-population-count-rev11. Plastic generation, mismanaged plastic waste, and the probability of mismanaged plastics entering the ocean are available from https://ourworldindata.org/plastic-pollution. Identification of animal feeding habits and commercial fisheries were performed according to databases from www.sealifebase.org and www.fishbase.org.Plastics. Plastic abundance data synthesized in this study have been deposited at figshare (doi: 10.6084/m9.figshare.18391934).",Nothing,Notes,,Partially Closed,Closed,Figshare,Nothing,Raw,URLs,Nothing,Nothing,Nothing,
"Xu, HR; Ren, YA; Zhang, WX; Meng, WJ; Yun, X; Yu, XY; Li, J; Zhang, YZ; Shen, GF; Ma, JM; Li, BG; Cheng, HF; Wang, XL; Wan, Y; Tao, S","Updated Global Black Carbon Emissions from 1960 to 2017: Improvements, Trends, and Drivers",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,35,10.1021/acs.est.1c03117,http://dx.doi.org/10.1021/acs.est.1c03117,2021,1,,,BC emissions by countries and sectors,Nothing,Supporting Information,,Partially Closed,Closed,Supporting Information,Nothing,Raw,,Nothing,Nothing,Nothing,
"Chen, YL; Sherwin, ED; Berman, ESF; Jones, BB; Gordon, MP; Wetherley, EB; Kort, EA; Brandt, AR",Quantifying Regional Methane Emissions in the New Mexico Permian Basin with a Comprehensive Aerial Survey,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,32,10.1021/acs.est.1c06458,http://dx.doi.org/10.1021/acs.est.1c06458,2022,1,,,"The data required to reproduce key results in this article are available at https://github.com/KairosAerospace/stanford_nm_data_2021. While the remaining data from this study are not available for open release due to confidentiality concerns, Kairos Aerospace is committed to working with research groups studying methane emissions. Access may be granted, but must be done directly through Kairos Aerospace. Interested researchers should contact research-collaborations@kairosaerospace.com.",Nothing,Editor's Note,,Partially Closed,Closed,GitHub,Nothing,Raw,,Nothing,Confidentiality Concerns,Nothing,
"Woolf, D; Lehmann, J; Ogle, S; Kishimoto-Mo, AW; McConkey, B; Baldock, J",Greenhouse Gas Inventory Model for Biochar Additions to Soil,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,28,10.1021/acs.est.1c02425,http://dx.doi.org/10.1021/acs.est.1c02425,2021,1,,,Data used to derive the permanence factors for biochar together with their respective references; functionality to recalculate the fraction of biochar remaining after decomposition (Fperm) for different time periods and for different soil temperatures; and the software code (written in R) required to calculate the effect size for biochar impacts on N2O emissions,Nothing,Supporting Information,,Partially Closed,Closed,Supporting Information,Nothing,Raw,,Nothing,Nothing,Nothing,
