title,doi,issn,year,cited_wos_core,is_climate,data_statement,data_avail,data_some,code_statement,code_avail,code_some,dropped,dropped_why,notes,proprietary cited (including license needed),coi stated
,10.1039/d1ee01532j,1754-5692,2022,7,,,,,,,,,,,,
,10.1039/d1ee02165f,1754-5692,2022,20,,,,,,,,,,,,
,10.1039/d1ee03474j,1754-5692,2022,9,,,,,,,,,,,,
,10.1039/d0ee03768k,1754-5692,2021,20,,,,,,,,,,,,
,10.1039/d0ee02681f,1754-5692,2021,96,,,,,,,,,,,,
,10.1039/d0ee02362k,1754-5692,2021,9,,,,,,,,,,,,
,10.1039/d1ee00532d,1754-5692,2021,32,,,,,,,,,,,,
,10.1039/d1ee01814k,1754-5692,2021,49,,,,,,,,,,,,
,10.1039/d1ee00746g,1754-5692,2021,5,,,,,,,,,,,,
,10.1039/d0ee03545a,1754-5692,2021,33,,,,,,,,,,,,
,10.1039/d2ee01021f,1754-5692,2022,4,,,,,,,,,,,,
,10.1039/d2ee01153k,1754-5692,2022,2,,,,,,,,,,,,
,10.1039/d1ee03816h,1754-5692,2022,7,,,,,,,,,,,,
,10.1039/d1ee01272j,1754-5692,2021,11,,,,,,,,,,,,
,10.1039/d2ee00722c,1754-5692,2022,5,,,,,,,,,,,,
,10.1039/d1ee01388b,1754-5692,2021,22,,,,,,,,,,,,
,10.1039/d1ee00689d,1754-5692,2021,10,,,,,,,,,,,,
,10.1039/d1ee02637b,1754-5692,2021,8,,,,,,,,,,,,
,10.1039/d1ee00650a,1754-5692,2021,6,,,,,,,,,,,,
,10.1039/d2ee01343f,1754-5692,2022,6,,,,,,,,,,,,
,10.1039/d2ee01199a,1754-5692,2022,17,,,,,,,,,,,,
,10.1039/d1ee02497c,1754-5692,2021,20,,,,,,,,,,,,
,10.1039/d0ee03808c,1754-5692,2021,73,,,,,,,,,,,,
,10.1039/d2ee00109h,1754-5692,2022,3,,,,,,,,,,,,
,10.1039/d1ee01475g,1754-5692,2021,12,,,,,,,,,,,,
