"Journal Data Filtered By:  Selected Categories: ENVIRONMENTAL SCIENCES Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Earth & Environment","NAT REV EARTH ENV","N/A","2662-138X","ENVIRONMENTAL SCIENCES - SCIE","4,599","42.1","Q1","3.93","0.68"%,
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","ENVIRONMENTAL SCIENCES - SCIE","107,998","32.5","Q1","4.55","20.81"%,
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","ENVIRONMENTAL SCIENCES - SCIE","45,022","30.7","Q1","5.16","10.24"%,
"Nature Sustainability","NAT SUSTAIN","2398-9629","2398-9629","ENVIRONMENTAL SCIENCES - SCIE","14,346","27.6","Q1","4.16","9.02"%,
"Lancet Planetary Health","LANCET PLANET HEALTH","N/A","2542-5196","ENVIRONMENTAL SCIENCES - SCIE","6,220","25.7","Q1","4.19","90.34"%,
"Annual Review of Environment and Resources","ANNU REV ENV RESOUR","1543-5938","1545-2050","ENVIRONMENTAL SCIENCES - SCIE","6,750","16.4","Q1","1.37","76.39"%,
"One Earth","ONE EARTH","2590-3330","2590-3322","ENVIRONMENTAL SCIENCES - SCIE","3,916","16.2","Q1","1.77","52.79"%,
"Environmental Chemistry Letters","ENVIRON CHEM LETT","1610-3653","1610-3661","ENVIRONMENTAL SCIENCES - SCIE","14,047","15.7","Q1","1.04","10.17"%,
"REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY","REV ENVIRON SCI BIO","1569-1705","1572-9826","ENVIRONMENTAL SCIENCES - SCIE","5,188","14.4","Q1","1","16.81"%,
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","0304-3894","1873-3336","ENVIRONMENTAL SCIENCES - SCIE","208,427","13.6","Q1","1.88","4.26"%,
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","0034-4257","1879-0704","ENVIRONMENTAL SCIENCES - SCIE","89,316","13.5","Q1","2.45","28.76"%,
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","0921-3449","1879-0658","ENVIRONMENTAL SCIENCES - SCIE","44,781","13.2","Q1","1.66","17.12"%,
"WATER RESEARCH","WATER RES","0043-1354","1879-2448","ENVIRONMENTAL SCIENCES - SCIE","144,183","12.8","Q1","2.08","13.64"%,
"Biochar","BIOCHAR","2524-7972","2524-7867","ENVIRONMENTAL SCIENCES - SCIE","1,899","12.7","Q1","1.57","61.78"%,
